mu,n,K,seed,protocol,last,average,floor
0.35,2048,128,3,cyclic,0.02129033164529484,0.021327537433527784,0.021373447279393193
0.35,2048,256,3,cyclic,0.02128977877975364,0.02129905656622235,0.021373447279393193
0.35,2048,1,4,with_replacement,0.03387558710197764,0.05338360429553717,0.021373447279393193
0.35,2048,2,4,with_replacement,0.02789460801344457,0.03816019900189235,0.021373447279393193
0.35,2048,4,4,with_replacement,0.023700380661474046,0.02963304171130845,0.021373447279393193
0.35,2048,8,4,with_replacement,0.021487573812896184,0.024947849101751768,0.021373447279393193
0.35,2048,16,4,with_replacement,0.02034609821526858,0.02212424714755899,0.021373447279393193
0.35,2048,32,4,with_replacement,0.020227239997500937,0.02074342420972723,0.021373447279393193
0.35,2048,64,4,with_replacement,0.020137724819714223,0.02029121683462009,0.021373447279393193
0.35,2048,128,4,with_replacement,0.020137590206489222,0.020173004168305954,0.021373447279393193
0.35,2048,256,4,with_replacement,0.020137589751436157,0.020144821298978245,0.021373447279393193
0.35,2048,1,4,reshuffle,0.03397292139161334,0.05435415905366596,0.021373447279393193
0.35,2048,2,4,reshuffle,0.04261327258307082,0.03790253618434194,0.021373447279393193
0.35,2048,4,4,reshuffle,0.02384413417457446,0.029531073529718174,0.021373447279393193
0.35,2048,8,4,reshuffle,0.021301141792716024,0.02465097554950113,0.021373447279393193
0.35,2048,16,4,reshuffle,0.020262875962358567,0.021862138396668576,0.021373447279393193
0.35,2048,32,4,reshuffle,0.020145427552709757,0.02064623695702024,0.021373447279393193
0.35,2048,64,4,reshuffle,0.0201377089736755,0.02026305867612982,0.021373447279393193
0.35,2048,128,4,reshuffle,0.020137590106569247,0.020164666684438153,0.021373447279393193
0.35,2048,256,4,reshuffle,0.02013758975146,0.02014212041092682,0.021373447279393193
0.35,2048,1,4,cyclic,0.03450231523957679,0.05387994619987746,0.021373447279393193
0.35,2048,2,4,cyclic,0.027403425486866466,0.03888774704203622,0.021373447279393193
0.35,2048,4,4,cyclic,0.02312611247470405,0.029903767644366395,0.021373447279393193
0.35,2048,8,4,cyclic,0.02093170570676316,0.02460829699179337,0.021373447279393193
0.35,2048,16,4,cyclic,0.020248483790258662,0.021778213721554206,0.021373447279393193
0.35,2048,32,4,cyclic,0.020147670837329202,0.02061086722085387,0.021373447279393193
0.35,2048,64,4,cyclic,0.020137788731084714,0.02025359882855414,0.021373447279393193
0.35,2048,128,4,cyclic,0.020137590126956092,0.02016257957099885,0.021373447279393193
0.35,2048,256,4,cyclic,0.02013758975146,0.02014173862195512,0.021373447279393193
0.35,2048,1,5,with_replacement,0.040155326780584706,0.054395174108960914,0.021373447279393193
0.35,2048,2,5,with_replacement,0.03092877127477344,0.041996738639619106,0.021373447279393193
0.35,2048,4,5,with_replacement,0.02409911704027814,0.032080379395178965,0.021373447279393193
0.35,2048,8,5,with_replacement,0.021130084687386603,0.025646074324614028,0.021373447279393193
0.35,2048,16,5,with_replacement,0.020013198574707798,0.022102819072285784,0.021373447279393193
0.35,2048,32,5,with_replacement,0.01986273482201598,0.020599647285190984,0.021373447279393193
0.35,2048,64,5,with_replacement,0.019854191532349474,0.02008765434187934,0.021373447279393193
0.35,2048,128,5,with_replacement,0.01985209660126722,0.019930129217374554,0.021373447279393193
0.35,2048,256,5,with_replacement,0.019852089503224743,0.019880848334010656,0.021373447279393193
0.35,2048,1,5,reshuffle,0.03406262739003296,0.05397221776762582,0.021373447279393193
0.35,2048,2,5,reshuffle,0.02645838769331185,0.03824885304881176,0.021373447279393193
0.35,2048,4,5,reshuffle,0.02226876164133568,0.028979791120776758,0.021373447279393193
0.35,2048,8,5,reshuffle,0.020447045583148114,0.02386874137948019,0.021373447279393193
0.35,2048,16,5,reshuffle,0.019979115356641444,0.02136921530197651,0.021373447279393193
0.35,2048,32,5,reshuffle,0.01986689333833656,0.020355863274357025,0.021373447279393193
0.35,2048,64,5,reshuffle,0.019858333406057648,0.020008941347581802,0.021373447279393193
0.35,2048,128,5,reshuffle,0.019852097350768785,0.019902978549630922,0.021373447279393193
0.35,2048,256,5,reshuffle,0.019852090877165343,0.01987036095012124,0.021373447279393193
0.35,2048,1,5,cyclic,0.034035803139626626,0.055206479361281036,0.021373447279393193
0.35,2048,2,5,cyclic,0.02645586041889984,0.03954290970268932,0.021373447279393193
0.35,2048,4,5,cyclic,0.02229004233112043,0.0297036573290468,0.021373447279393193
0.35,2048,8,5,cyclic,0.020436651088776705,0.024198648945682626,0.021373447279393193
0.35,2048,16,5,cyclic,0.019940792586844266,0.02149052078374809,0.021373447279393193
0.35,2048,32,5,cyclic,0.019858575148392666,0.020393772941399633,0.021373447279393193
0.35,2048,64,5,cyclic,0.019852235829337768,0.02002144878661386,0.021373447279393193
0.35,2048,128,5,cyclic,0.019852102063929015,0.019907874118066594,0.021373447279393193
0.35,2048,256,5,cyclic,0.019852089807365216,0.01987261550953946,0.021373447279393193
0.35,2048,1,6,with_replacement,0.04525034928134549,0.06246430803844244,0.021373447279393193
0.35,2048,2,6,with_replacement,0.029699682886587725,0.04277667844203933,0.021373447279393193
0.35,2048,4,6,with_replacement,0.025298741712741716,0.03201008661695328,0.021373447279393193
0.35,2048,8,6,with_replacement,0.02118180403443149,0.02543869345826743,0.021373447279393193
0.35,2048,16,6,with_replacement,0.020689518373806504,0.022188385176778538,0.021373447279393193
0.35,2048,32,6,with_replacement,0.020503422724858323,0.02098993616813063,0.021373447279393193
0.35,2048,64,6,with_replacement,0.02049056885205491,0.020623132202249726,0.021373447279393193
0.35,2048,128,6,with_replacement,0.02048743502313653,0.020523029753788714,0.021373447279393193
0.35,2048,256,6,with_replacement,0.020487191919020327,0.02049634176577492,0.021373447279393193
0.35,2048,1,6,reshuffle,0.050844377260712684,0.048881351374878604,0.021373447279393193
0.35,2048,2,6,reshuffle,0.028194489685836075,0.03665635637913294,0.021373447279393193
0.35,2048,4,6,reshuffle,0.022876260623230543,0.02856131057597453,0.021373447279393193
0.35,2048,8,6,reshuffle,0.02156416148818337,0.023973187548745417,0.021373447279393193
0.35,2048,16,6,reshuffle,0.020862522550756848,0.021689508748456328,0.021373447279393193
0.35,2048,32,6,reshuffle,0.02050450885920864,0.020838731237617023,0.021373447279393193
